codigo_dane,municipio,subregion,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,fuente,estimado
05847,Urrao,Urrao,2000-2002,2000,2002,No Bosque Estable,77245.36,38622.68,excel,False
05847,Urrao,Urrao,2000-2002,2000,2002,Regeneración,427.94,213.97,excel,False
05847,Urrao,Urrao,2000-2002,2000,2002,Sin Información,7320.0,3660.0,excel,False
05873,Vigía del Fuerte,Atrato,2000-2002,2000,2002,Bosque Estable,141239.81,70619.9,excel,False
05873,Vigía del Fuerte,Atrato,2000-2002,2000,2002,Deforestación,125.38,62.69,excel,False
05873,Vigía del Fuerte,Atrato,2000-2002,2000,2002,No Bosque Estable,16115.37,8057.68,excel,False
05873,Vigía del Fuerte,Atrato,2000-2002,2000,2002,Regeneración,17.29,8.64,excel,False
05873,Vigía del Fuerte,Atrato,2000-2002,2000,2002,Sin Información,8359.19,4179.6,excel,False
05004,Abriaquí,Nutibara,2002-2004,2002,2004,Bosque Estable,13395.8,6697.9,shapefile,False
05004,Abriaquí,Nutibara,2002-2004,2002,2004,Deforestación,8.99,4.5,shapefile,False
05004,Abriaquí,Nutibara,2002-2004,2002,2004,No Bosque Estable,16258.2,8129.1,shapefile,False
05045,Apartadó,Centro,2002-2004,2002,2004,Bosque Estable,17674.26,8837.13,shapefile,False
05045,Apartadó,Centro,2002-2004,2002,2004,Deforestación,40.27,20.14,shapefile,False
05045,Apartadó,Centro,2002-2004,2002,2004,No Bosque Estable,35282.73,17641.37,shapefile,False
05045,Apartadó,Centro,2002-2004,2002,2004,Sin Información,284.07,142.04,shapefile,False
05051,Arboletes,Caribe,2002-2004,2002,2004,Bosque Estable,1227.54,613.77,shapefile,False
05051,Arboletes,Caribe,2002-2004,2002,2004,Deforestación,6.56,3.28,shapefile,False
05051,Arboletes,Caribe,2002-2004,2002,2004,No Bosque Estable,72830.89,36415.44,shapefile,False
05147,Carepa,Centro,2002-2004,2002,2004,Bosque Estable,6617.23,3308.62,shapefile,False
05147,Carepa,Centro,2002-2004,2002,2004,Deforestación,269.2,134.6,shapefile,False
05147,Carepa,Centro,2002-2004,2002,2004,No Bosque Estable,31349.2,15674.6,shapefile,False
05147,Carepa,Centro,2002-2004,2002,2004,Sin Información,127.79,63.9,shapefile,False
05138,Cañasgordas,Nutibara,2002-2004,2002,2004,Bosque Estable,11919.07,5959.54,shapefile,False
05138,Cañasgordas,Nutibara,2002-2004,2002,2004,Deforestación,12.38,6.19,shapefile,False
05138,Cañasgordas,Nutibara,2002-2004,2002,2004,No Bosque Estable,24513.72,12256.86,shapefile,False
05172,Chigorodó,Centro,2002-2004,2002,2004,Bosque Estable,20957.85,10478.92,shapefile,False
05172,Chigorodó,Centro,2002-2004,2002,2004,Deforestación,325.17,162.58,shapefile,False
05172,Chigorodó,Centro,2002-2004,2002,2004,No Bosque Estable,48953.07,24476.54,shapefile,False
05172,Chigorodó,Centro,2002-2004,2002,2004,Sin Información,225.33,112.66,shapefile,False
05234,Dabeiba,Nutibara,2002-2004,2002,2004,Bosque Estable,142009.35,71004.68,shapefile,False
05234,Dabeiba,Nutibara,2002-2004,2002,2004,Deforestación,270.42,135.21,shapefile,False
05234,Dabeiba,Nutibara,2002-2004,2002,2004,No Bosque Estable,48744.41,24372.2,shapefile,False
05234,Dabeiba,Nutibara,2002-2004,2002,2004,Sin Información,3897.7,1948.85,shapefile,False
05284,Frontino,Nutibara,2002-2004,2002,2004,Bosque Estable,91470.75,45735.38,shapefile,False
05284,Frontino,Nutibara,2002-2004,2002,2004,Deforestación,76.94,38.47,shapefile,False
05284,Frontino,Nutibara,2002-2004,2002,2004,No Bosque Estable,45103.37,22551.68,shapefile,False
05284,Frontino,Nutibara,2002-2004,2002,2004,Sin Información,1574.39,787.2,shapefile,False
05306,Giraldo,Nutibara,2002-2004,2002,2004,Bosque Estable,1303.58,651.79,shapefile,False
05306,Giraldo,Nutibara,2002-2004,2002,2004,No Bosque Estable,8028.42,4014.21,shapefile,False
05475,Murindó,Atrato,2002-2004,2002,2004,Bosque Estable,104977.32,52488.66,shapefile,False
05475,Murindó,Atrato,2002-2004,2002,2004,Deforestación,30.29,15.14,shapefile,False
05475,Murindó,Atrato,2002-2004,2002,2004,No Bosque Estable,13949.21,6974.6,shapefile,False
05475,Murindó,Atrato,2002-2004,2002,2004,Sin Información,5935.99,2968.0,shapefile,False
05480,Mutatá,Centro,2002-2004,2002,2004,Bosque Estable,66668.25,33334.12,shapefile,False
05480,Mutatá,Centro,2002-2004,2002,2004,Deforestación,575.37,287.68,shapefile,False
05480,Mutatá,Centro,2002-2004,2002,2004,No Bosque Estable,35100.53,17550.26,shapefile,False
05480,Mutatá,Centro,2002-2004,2002,2004,Sin Información,3544.78,1772.39,shapefile,False
