periodo,ano_inicio,ano_fin,municipio,codigo_dane,subregion,n_parches,ha_total,tamano_medio_ha,tamano_mediano_ha,tamano_max_ha,pct_parches_grandes,fuente_calidad
2019-2020,2019,2020,San Juan de Urabá,05659,Caribe,4,5.61,1.403,1.28,2.92,0.0,shapefile_ok
2019-2020,2019,2020,Arboletes,05051,Caribe,1,4.92,4.92,4.92,4.92,0.0,shapefile_ok
2019-2020,2019,2020,Abriaquí,05004,Nutibara,1,1.12,1.12,1.12,1.12,0.0,shapefile_ok
2020-2021,2020,2021,Dabeiba,05234,Nutibara,137,222.45,1.624,1.25,6.16,0.0,shapefile_ok
2020-2021,2020,2021,Urrao,05847,Urrao,109,207.39,1.903,1.58,7.67,0.0,shapefile_ok
2020-2021,2020,2021,Mutatá,05480,Centro,54,122.14,2.262,1.43,17.07,3.7,shapefile_ok
2020-2021,2020,2021,Murindó,05475,Atrato,59,107.98,1.83,1.19,11.85,1.69,shapefile_ok
2020-2021,2020,2021,Vigía del Fuerte,05873,Atrato,61,99.11,1.625,1.23,8.72,0.0,shapefile_ok
2020-2021,2020,2021,Frontino,05284,Nutibara,42,81.02,1.929,1.52,7.1,0.0,shapefile_ok
2020-2021,2020,2021,Turbo,05837,Centro,45,76.9,1.709,1.33,5.7,0.0,shapefile_ok
2020-2021,2020,2021,Arboletes,05051,Caribe,13,40.84,3.142,2.09,11.3,7.69,shapefile_ok
2020-2021,2020,2021,Apartadó,05045,Centro,16,34.67,2.167,1.505,10.31,6.25,shapefile_ok
2020-2021,2020,2021,Necoclí,05490,Caribe,14,24.92,1.78,1.645,4.08,0.0,shapefile_ok
2020-2021,2020,2021,Cañasgordas,05138,Nutibara,6,19.49,3.248,2.02,7.82,0.0,shapefile_ok
2020-2021,2020,2021,Carepa,05147,Centro,3,17.09,5.697,5.7,7.34,0.0,shapefile_ok
2020-2021,2020,2021,Chigorodó,05172,Centro,8,16.19,2.024,1.6,5.02,0.0,shapefile_ok
2020-2021,2020,2021,Peque,05543,Nutibara,4,9.82,2.455,1.55,5.91,0.0,shapefile_ok
2020-2021,2020,2021,San Pedro de Urabá,05665,Caribe,3,5.98,1.993,2.03,2.08,0.0,shapefile_ok
2020-2021,2020,2021,Uramita,05842,Nutibara,3,3.94,1.313,1.25,1.82,0.0,shapefile_ok
2021-2022,2021,2022,Dabeiba,05234,Nutibara,268,579.16,2.161,1.265,39.6,2.61,shapefile_ok
2021-2022,2021,2022,Frontino,05284,Nutibara,153,358.35,2.342,1.44,65.24,1.31,shapefile_ok
2021-2022,2021,2022,Mutatá,05480,Centro,134,277.7,2.072,1.405,15.71,2.99,shapefile_ok
2021-2022,2021,2022,Urrao,05847,Urrao,133,262.55,1.974,1.66,8.08,0.0,shapefile_ok
2021-2022,2021,2022,Turbo,05837,Centro,140,212.21,1.516,1.115,9.79,0.0,shapefile_ok
2021-2022,2021,2022,Murindó,05475,Atrato,139,187.71,1.35,1.22,5.56,0.0,shapefile_ok
2021-2022,2021,2022,Apartadó,05045,Centro,65,121.02,1.862,1.48,12.19,1.54,shapefile_ok
2021-2022,2021,2022,Vigía del Fuerte,05873,Atrato,70,105.1,1.501,0.9,13.7,1.43,shapefile_ok
2021-2022,2021,2022,Chigorodó,05172,Centro,80,103.64,1.296,0.98,4.9,0.0,shapefile_ok
2021-2022,2021,2022,Carepa,05147,Centro,11,28.72,2.611,1.55,10.77,9.09,shapefile_ok
2021-2022,2021,2022,Necoclí,05490,Caribe,13,23.86,1.835,1.3,6.01,0.0,shapefile_ok
2021-2022,2021,2022,Arboletes,05051,Caribe,4,14.58,3.645,3.53,7.43,0.0,shapefile_ok
2021-2022,2021,2022,San Juan de Urabá,05659,Caribe,4,13.93,3.482,0.99,11.86,25.0,shapefile_ok
2021-2022,2021,2022,San Pedro de Urabá,05665,Caribe,8,8.86,1.107,0.92,2.67,0.0,shapefile_ok
2021-2022,2021,2022,Giraldo,05306,Nutibara,2,8.1,4.05,4.05,7.4,0.0,shapefile_ok
2021-2022,2021,2022,Cañasgordas,05138,Nutibara,5,7.44,1.488,1.46,2.32,0.0,shapefile_ok
2021-2022,2021,2022,Abriaquí,05004,Nutibara,4,5.77,1.442,1.33,2.51,0.0,shapefile_ok
2021-2022,2021,2022,Peque,05543,Nutibara,3,3.85,1.283,1.47,1.6,0.0,shapefile_ok
2021-2022,2021,2022,Uramita,05842,Nutibara,1,0.84,0.84,0.84,0.84,0.0,shapefile_ok
2022-2023,2022,2023,Urrao,05847,Urrao,233,336.68,1.445,1.04,12.69,0.43,shapefile_ok
2022-2023,2022,2023,Dabeiba,05234,Nutibara,102,166.03,1.628,1.155,7.17,0.0,shapefile_ok
