periodo,ano_inicio,ano_fin,resguardo,pueblo,clase,hectareas,hectareas_anuales,poligonos,fuente,calidad_fuente
2000-2002,2000,2002,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,Bosque Estable,0.0,0.0,75,excel,solo_conteo
2000-2002,2000,2002,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,Deforestación,0.0,0.0,9,excel,solo_conteo
2000-2002,2000,2002,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,No Bosque Estable,0.0,0.0,177,excel,solo_conteo
2000-2002,2000,2002,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,Sin Información,0.0,0.0,29,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Coribi Bedado,Embera Katío,Bosque Estable,0.0,0.0,12,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Coribi Bedado,Embera Katío,Deforestación,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Coribi Bedado,Embera Katío,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena El Mango del Pueblo Senú,Senú/Zenú,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera - Catio de ""El Pital"" - Narikizavi",Embera Katío,Bosque Estable,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera - Catio de ""El Pital"" - Narikizavi",Embera Katío,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,Bosque Estable,0.0,0.0,195,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,Deforestación,0.0,0.0,7,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,No Bosque Estable,0.0,0.0,543,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,Sin Información,0.0,0.0,294,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,Bosque Estable,0.0,0.0,24,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,Deforestación,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,No Bosque Estable,0.0,0.0,114,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,Sin Información,0.0,0.0,12,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Valle De Perdidas,Embera Katío,Bosque Estable,0.0,0.0,113,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Valle De Perdidas,Embera Katío,Deforestación,0.0,0.0,5,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera - Katio de Valle De Perdidas,Embera Katío,No Bosque Estable,0.0,0.0,255,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera Catio de Choromando Bajo y la Lejia ""Monzhomando""",Embera Katío,Bosque Estable,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera Catio de Choromando Bajo y la Lejia ""Monzhomando""",Embera Katío,Deforestación,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,"Resguardo Indígena Embera Catio de Choromando Bajo y la Lejia ""Monzhomando""",Embera Katío,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Chami y Zenu De La Palma,Embera Chamí-Zenú,Bosque Estable,0.0,0.0,25,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Chami y Zenu De La Palma,Embera Chamí-Zenú,No Bosque Estable,0.0,0.0,13,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Drua,Embera,Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Drua,Embera,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio de Sever,Embera Katío,Bosque Estable,0.0,0.0,95,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio de Sever,Embera Katío,Deforestación,0.0,0.0,6,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio de Sever,Embera Katío,No Bosque Estable,0.0,0.0,155,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio de Sever,Embera Katío,Sin Información,0.0,0.0,92,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio del Rio Murindo,Embera Katío,Bosque Estable,0.0,0.0,210,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio del Rio Murindo,Embera Katío,Deforestación,0.0,0.0,10,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio del Rio Murindo,Embera Katío,No Bosque Estable,0.0,0.0,627,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera Katio del Rio Murindo,Embera Katío,Sin Información,0.0,0.0,76,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Chimurro y Nendo,Embera,Bosque Estable,0.0,0.0,71,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Chimurro y Nendo,Embera,Deforestación,0.0,0.0,4,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Chimurro y Nendo,Embera,No Bosque Estable,0.0,0.0,341,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Chimurro y Nendo,Embera,Sin Información,0.0,0.0,25,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Chuscal y Tuguridocito,Embera,Bosque Estable,0.0,0.0,69,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Chuscal y Tuguridocito,Embera,Deforestación,0.0,0.0,13,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Chuscal y Tuguridocito,Embera,No Bosque Estable,0.0,0.0,157,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Dokerazavi,Embera,Bosque Estable,0.0,0.0,40,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Dokerazavi,Embera,No Bosque Estable,0.0,0.0,19,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de El Salado,Embera,Bosque Estable,0.0,0.0,129,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de El Salado,Embera,No Bosque Estable,0.0,0.0,68,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de El Salado,Embera,Sin Información,0.0,0.0,105,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Guaguando,Embera,Bosque Estable,0.0,0.0,108,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Guaguando,Embera,Deforestación,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Guaguando,Embera,No Bosque Estable,0.0,0.0,43,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Guaguando,Embera,Sin Información,0.0,0.0,76,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Nusido,Embera,Bosque Estable,0.0,0.0,11,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Nusido,Embera,No Bosque Estable,0.0,0.0,3,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Urada Jiguamiando,Embera,Bosque Estable,0.0,0.0,6,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de Urada Jiguamiando,Embera,No Bosque Estable,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de los Rios Jengado-Apartado,Embera,Bosque Estable,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de los Rios Jengado-Apartado,Embera,No Bosque Estable,0.0,0.0,7,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de los Rios Jengado-Apartado,Embera,Sin Información,0.0,0.0,6,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de los Rios Pavarando y Amparrado Medio,Embera,Bosque Estable,0.0,0.0,112,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de los Rios Pavarando y Amparrado Medio,Embera,Deforestación,0.0,0.0,5,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de los Rios Pavarando y Amparrado Medio,Embera,No Bosque Estable,0.0,0.0,309,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera de los Rios Pavarando y Amparrado Medio,Embera,Sin Información,0.0,0.0,227,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera del Rio Jarapeto,Embera,Bosque Estable,0.0,0.0,5,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera del Rio Jarapeto,Embera,No Bosque Estable,0.0,0.0,56,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera del Rio Jarapeto,Embera,Sin Información,0.0,0.0,6,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera- Katio de Choromando Alto y Medio,Embera Katío,Bosque Estable,0.0,0.0,39,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera- Katio de Choromando Alto y Medio,Embera Katío,No Bosque Estable,0.0,0.0,103,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera- Katio de Choromando Alto y Medio,Embera Katío,Sin Información,0.0,0.0,3,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Amparrado Alto Medio,Embera Katío,Bosque Estable,0.0,0.0,147,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Amparrado Alto Medio,Embera Katío,Deforestación,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Amparrado Alto Medio,Embera Katío,No Bosque Estable,0.0,0.0,486,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Amparrado Alto Medio,Embera Katío,Sin Información,0.0,0.0,126,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Andabu,Embera Katío,Bosque Estable,0.0,0.0,145,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Andabu,Embera Katío,Deforestación,0.0,0.0,8,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Andabu,Embera Katío,No Bosque Estable,0.0,0.0,371,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Andabu,Embera Katío,Regeneración,0.0,0.0,36,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Andabu,Embera Katío,Sin Información,0.0,0.0,81,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Jaikerazavi,Embera Katío,Bosque Estable,0.0,0.0,257,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Jaikerazavi,Embera Katío,Deforestación,0.0,0.0,9,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Jaikerazavi,Embera Katío,No Bosque Estable,0.0,0.0,599,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Jaikerazavi,Embera Katío,Sin Información,0.0,0.0,332,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Jenaturado,Embera Katío,Bosque Estable,0.0,0.0,19,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Jenaturado,Embera Katío,No Bosque Estable,0.0,0.0,29,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Jenaturado,Embera Katío,Sin Información,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Las Playas,Embera Katío,Bosque Estable,0.0,0.0,11,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Las Playas,Embera Katío,No Bosque Estable,0.0,0.0,14,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Majoré- Ambura,Embera Katío,Bosque Estable,0.0,0.0,62,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Majoré- Ambura,Embera Katío,Deforestación,0.0,0.0,18,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Majoré- Ambura,Embera Katío,No Bosque Estable,0.0,0.0,161,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Majoré- Ambura,Embera Katío,Regeneración,0.0,0.0,16,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Polines,Embera Katío,Bosque Estable,0.0,0.0,65,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Polines,Embera Katío,Deforestación,0.0,0.0,3,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Polines,Embera Katío,No Bosque Estable,0.0,0.0,132,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Embera-Katio de Polines,Embera Katío,Sin Información,0.0,0.0,34,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Emebera-Katio de Santa Maria - El Charcon,Embera Katío,Bosque Estable,0.0,0.0,4,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Emebera-Katio de Santa Maria - El Charcon,Embera Katío,No Bosque Estable,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Emebra - Katio de Chaquenoda,Embera Katío,Bosque Estable,0.0,0.0,268,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Emebra - Katio de Chaquenoda,Embera Katío,Deforestación,0.0,0.0,19,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Emebra - Katio de Chaquenoda,Embera Katío,No Bosque Estable,0.0,0.0,545,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Emebra - Katio de Chaquenoda,Embera Katío,Sin Información,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Murri-pantanos,Embera Katío,Bosque Estable,0.0,0.0,221,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Murri-pantanos,Embera Katío,Deforestación,0.0,0.0,7,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Murri-pantanos,Embera Katío,No Bosque Estable,0.0,0.0,683,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Murri-pantanos,Embera Katío,Sin Información,0.0,0.0,113,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Rio Alto De San Juan,Senú/Zenú,Bosque Estable,0.0,0.0,3,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Rio Alto De San Juan,Senú/Zenú,No Bosque Estable,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Senú Los Almendros,Senú/Zenú,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Yaberarado,Embera Katío,Bosque Estable,0.0,0.0,97,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Yaberarado,Embera Katío,Deforestación,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Yaberarado,Embera Katío,No Bosque Estable,0.0,0.0,194,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Yaberarado,Embera Katío,Sin Información,0.0,0.0,44,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Zenu Del Volao,Senú/Zenú,Bosque Estable,0.0,0.0,2,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena Zenu Del Volao,Senú/Zenú,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo Indígena de Canime,Senú/Zenú,No Bosque Estable,0.0,0.0,1,excel,solo_conteo
2000-2002,2000,2002,Resguardo indígena Caiman Nuevo,Tule/Guna (Cuna),Bosque Estable,0.0,0.0,151,excel,solo_conteo
2000-2002,2000,2002,Resguardo indígena Caiman Nuevo,Tule/Guna (Cuna),Deforestación,0.0,0.0,25,excel,solo_conteo
2000-2002,2000,2002,Resguardo indígena Caiman Nuevo,Tule/Guna (Cuna),No Bosque Estable,0.0,0.0,338,excel,solo_conteo
2002-2004,2002,2004,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,Bosque Estable,3783.7,1891.85,79,shapefile,geometria
2002-2004,2002,2004,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,No Bosque Estable,865.79,432.9,172,shapefile,geometria
2002-2004,2002,2004,Resguardo Embera Katio de Cañaverales - Antado,Embera Katío,Sin Información,145.28,72.64,52,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Coribi Bedado,Embera Katío,Bosque Estable,11.53,5.76,6,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Coribi Bedado,Embera Katío,Deforestación,2.73,1.36,2,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Coribi Bedado,Embera Katío,No Bosque Estable,91.06,45.53,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena El Mango del Pueblo Senú,Senú/Zenú,No Bosque Estable,53.36,26.68,1,shapefile,geometria
2002-2004,2002,2004,"Resguardo Indígena Embera - Catio de ""El Pital"" - Narikizavi",Embera Katío,Bosque Estable,18.07,9.04,2,shapefile,geometria
2002-2004,2002,2004,"Resguardo Indígena Embera - Catio de ""El Pital"" - Narikizavi",Embera Katío,No Bosque Estable,257.76,128.88,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,Bosque Estable,36074.62,18037.31,260,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,Deforestación,6.2,3.1,7,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,No Bosque Estable,753.26,376.63,450,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Catio del Rio Chajerado,Embera,Sin Información,4970.76,2485.38,327,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,Bosque Estable,5117.48,2558.74,29,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,Deforestación,21.59,10.8,19,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,No Bosque Estable,127.62,63.81,89,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Katio de Chontadural - Cañero,Embera Katío,Sin Información,65.74,32.87,19,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Katio de Valle De Perdidas,Embera Katío,Bosque Estable,6928.8,3464.4,113,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera - Katio de Valle De Perdidas,Embera Katío,No Bosque Estable,1753.81,876.9,260,shapefile,geometria
2002-2004,2002,2004,"Resguardo Indígena Embera Catio de Choromando Bajo y la Lejia ""Monzhomando""",Embera Katío,Bosque Estable,165.62,82.81,2,shapefile,geometria
2002-2004,2002,2004,"Resguardo Indígena Embera Catio de Choromando Bajo y la Lejia ""Monzhomando""",Embera Katío,No Bosque Estable,19.75,9.88,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Chami y Zenu De La Palma,Embera Chamí-Zenú,Bosque Estable,44.75,22.38,23,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Chami y Zenu De La Palma,Embera Chamí-Zenú,No Bosque Estable,282.34,141.17,13,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Drua,Embera,Bosque Estable,1.24,0.62,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Drua,Embera,No Bosque Estable,16.83,8.41,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Katio de Sever,Embera Katío,Bosque Estable,8554.52,4277.26,75,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Katio de Sever,Embera Katío,Deforestación,13.45,6.72,14,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Katio de Sever,Embera Katío,No Bosque Estable,1201.44,600.72,121,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Katio de Sever,Embera Katío,Sin Información,434.19,217.1,70,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Katio del Rio Murindo,Embera Katío,Bosque Estable,16150.98,8075.49,226,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Katio del Rio Murindo,Embera Katío,Deforestación,0.81,0.4,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Katio del Rio Murindo,Embera Katío,No Bosque Estable,1387.83,693.92,587,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera Katio del Rio Murindo,Embera Katío,Sin Información,691.74,345.87,156,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Chimurro y Nendo,Embera,Bosque Estable,11940.36,5970.18,76,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Chimurro y Nendo,Embera,Deforestación,13.38,6.69,17,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Chimurro y Nendo,Embera,No Bosque Estable,1012.12,506.06,340,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Chimurro y Nendo,Embera,Sin Información,218.56,109.28,47,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Chuscal y Tuguridocito,Embera,Bosque Estable,3675.62,1837.81,67,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Chuscal y Tuguridocito,Embera,Deforestación,0.66,0.33,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Chuscal y Tuguridocito,Embera,No Bosque Estable,1070.13,535.07,169,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Chuscal y Tuguridocito,Embera,Sin Información,0.74,0.37,5,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Dokerazavi,Embera,Bosque Estable,304.81,152.4,40,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Dokerazavi,Embera,No Bosque Estable,478.11,239.06,19,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de El Salado,Embera,Bosque Estable,15398.4,7699.2,136,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de El Salado,Embera,Deforestación,1.92,0.96,2,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de El Salado,Embera,No Bosque Estable,285.69,142.84,49,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de El Salado,Embera,Sin Información,2402.43,1201.21,125,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Guaguando,Embera,Bosque Estable,10925.56,5462.78,106,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Guaguando,Embera,No Bosque Estable,70.14,35.07,31,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Guaguando,Embera,Sin Información,2997.04,1498.52,88,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Nusido,Embera,Bosque Estable,46.66,23.33,11,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Nusido,Embera,No Bosque Estable,214.27,107.14,3,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Urada Jiguamiando,Embera,Bosque Estable,11.33,5.66,6,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de Urada Jiguamiando,Embera,No Bosque Estable,0.28,0.14,2,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de los Rios Jengado-Apartado,Embera,Bosque Estable,4988.28,2494.14,2,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de los Rios Jengado-Apartado,Embera,Deforestación,0.24,0.12,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de los Rios Jengado-Apartado,Embera,No Bosque Estable,3.07,1.54,7,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de los Rios Jengado-Apartado,Embera,Sin Información,1.15,0.57,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de los Rios Pavarando y Amparrado Medio,Embera,Bosque Estable,20049.35,10024.67,94,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de los Rios Pavarando y Amparrado Medio,Embera,No Bosque Estable,377.11,188.56,233,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera de los Rios Pavarando y Amparrado Medio,Embera,Sin Información,1225.72,612.86,284,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera del Rio Jarapeto,Embera,Bosque Estable,5528.69,2764.34,5,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera del Rio Jarapeto,Embera,Deforestación,4.1,2.05,3,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera del Rio Jarapeto,Embera,No Bosque Estable,41.31,20.66,51,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera del Rio Jarapeto,Embera,Sin Información,9.62,4.81,12,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera- Katio de Choromando Alto y Medio,Embera Katío,Bosque Estable,2577.0,1288.5,40,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera- Katio de Choromando Alto y Medio,Embera Katío,Deforestación,0.95,0.48,1,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera- Katio de Choromando Alto y Medio,Embera Katío,No Bosque Estable,463.95,231.98,100,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera- Katio de Choromando Alto y Medio,Embera Katío,Sin Información,12.63,6.32,16,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Amparrado Alto Medio,Embera Katío,Bosque Estable,15875.38,7937.69,156,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Amparrado Alto Medio,Embera Katío,No Bosque Estable,1046.77,523.38,439,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Amparrado Alto Medio,Embera Katío,Sin Información,1103.46,551.73,223,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Andabu,Embera Katío,Bosque Estable,19976.7,9988.35,158,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Andabu,Embera Katío,Deforestación,19.83,9.91,11,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Andabu,Embera Katío,No Bosque Estable,988.36,494.18,347,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Andabu,Embera Katío,Sin Información,2403.69,1201.84,126,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Jaikerazavi,Embera Katío,Bosque Estable,28248.54,14124.27,172,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Jaikerazavi,Embera Katío,Deforestación,21.43,10.72,16,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Jaikerazavi,Embera Katío,No Bosque Estable,791.22,395.61,496,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Jaikerazavi,Embera Katío,Sin Información,2657.69,1328.84,189,shapefile,geometria
2002-2004,2002,2004,Resguardo Indígena Embera-Katio de Jenaturado,Embera Katío,Bosque Estable,422.24,211.12,18,shapefile,geometria
