idcu,cuenca,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,n_poligonos,fuente,area_confiable,flag_calidad
6,Cauca,2015-2016,2015,2016,Deforestación,5.91,5.91,6,shp:geometria,True,geometria_metrica
6,Cauca,2015-2016,2015,2016,No Bosque Estable,33019.41,33019.41,405,shp:geometria,True,geometria_metrica
6,Cauca,2015-2016,2015,2016,Sin Información,143.71,143.71,35,shp:geometria,True,geometria_metrica
6,Cauca,2016-2017,2016,2017,Bosque Estable,9343.02,9343.02,703,shp:geometria,True,geometria_metrica
6,Cauca,2016-2017,2016,2017,Deforestación,39.31,39.31,56,shp:geometria,True,geometria_metrica
6,Cauca,2016-2017,2016,2017,No Bosque Estable,33209.99,33209.99,395,shp:geometria,True,geometria_metrica
6,Cauca,2016-2017,2016,2017,Sin Información,148.13,148.13,37,shp:geometria,True,geometria_metrica
6,Cauca,2017-2018,2017,2018,Bosque Estable,9343.02,9343.02,703,shp:geometria,True,geometria_metrica
6,Cauca,2017-2018,2017,2018,Deforestación,39.31,39.31,56,shp:geometria,True,geometria_metrica
6,Cauca,2017-2018,2017,2018,No Bosque Estable,33209.99,33209.99,395,shp:geometria,True,geometria_metrica
6,Cauca,2017-2018,2017,2018,Sin Información,148.13,148.13,37,shp:geometria,True,geometria_metrica
6,Cauca,2019-2020,2019,2020,Bosque Estable,9363.7,9363.7,702,shp:geometria,True,geometria_metrica
6,Cauca,2019-2020,2019,2020,Deforestación,36.3,36.3,12,shp:geometria,True,geometria_metrica
6,Cauca,2019-2020,2019,2020,No Bosque Estable,33340.47,33340.47,375,shp:geometria,True,geometria_metrica
6,Cauca,2020-2021,2020,2021,Bosque Estable,9353.4,9353.4,704,shp:geometria,True,geometria_metrica
6,Cauca,2020-2021,2020,2021,Deforestación,9.66,9.66,5,shp:geometria,True,geometria_metrica
6,Cauca,2020-2021,2020,2021,Regeneración,33377.51,33377.51,369,shp:geometria,True,geometria_metrica
6,Cauca,2021-2022,2021,2022,Bosque Estable,316162.93,316162.93,706,xlsx:columna_area,False,columna_area_preclip_no_confiable
6,Cauca,2021-2022,2021,2022,Deforestación,13.49,13.49,5,xlsx:columna_area,False,columna_area_preclip_no_confiable
6,Cauca,2021-2022,2021,2022,No Bosque Estable,128013.56,128013.56,358,xlsx:columna_area,False,columna_area_preclip_no_confiable
6,Cauca,2022-2023,2022,2023,Bosque Estable,9309.12,9309.12,695,shp:geometria,True,geometria_metrica
6,Cauca,2022-2023,2022,2023,Deforestación,3.91,3.91,3,shp:geometria,True,geometria_metrica
6,Cauca,2022-2023,2022,2023,No Bosque Estable,33427.6,33427.6,348,shp:geometria,True,geometria_metrica
6,Cauca,2023-2024,2023,2024,Bosque Estable,,,707,dbf:conteo,False,solo_conteo_sin_area
6,Cauca,2023-2024,2023,2024,Deforestación,,,11,dbf:conteo,False,solo_conteo_sin_area
6,Cauca,2023-2024,2023,2024,Regeneración,,,360,dbf:conteo,False,solo_conteo_sin_area
5,León,2000-2002,2000,2002,Bosque Estable,65300.6,32650.3,4450,xlsx:columna_area,True,columna_validada_ok
5,León,2000-2002,2000,2002,Deforestación,69.69,34.84,57,xlsx:columna_area,True,columna_validada_ok
5,León,2000-2002,2000,2002,No Bosque Estable,150319.08,75159.54,3184,xlsx:columna_area,True,columna_validada_ok
5,León,2000-2002,2000,2002,Sin Información,1019.23,509.62,267,xlsx:columna_area,True,columna_validada_ok
5,León,2002-2004,2002,2004,Bosque Estable,64344.11,32172.06,4142,shp:geometria,True,geometria_metrica
5,León,2002-2004,2002,2004,Deforestación,846.94,423.47,696,shp:geometria,True,geometria_metrica
5,León,2002-2004,2002,2004,No Bosque Estable,150723.63,75361.82,3067,shp:geometria,True,geometria_metrica
5,León,2002-2004,2002,2004,Sin Información,809.06,404.53,267,shp:geometria,True,geometria_metrica
5,León,2004-2006,2004,2006,Bosque Estable,64080.32,32040.16,4033,shp:geometria,True,geometria_metrica
5,León,2004-2006,2004,2006,Deforestación,394.5,197.25,370,shp:geometria,True,geometria_metrica
5,León,2004-2006,2004,2006,No Bosque Estable,151798.02,75899.01,3078,shp:geometria,True,geometria_metrica
5,León,2004-2006,2004,2006,Sin Información,450.47,225.24,162,shp:geometria,True,geometria_metrica
5,León,2006-2008,2006,2008,Bosque Estable,62950.42,31475.21,5510,xlsx:columna_area,True,columna_validada_ok
5,León,2006-2008,2006,2008,Deforestación,600.4,300.2,628,xlsx:columna_area,True,columna_validada_ok
5,León,2006-2008,2006,2008,No Bosque Estable,152432.86,76216.43,4397,xlsx:columna_area,True,columna_validada_ok
5,León,2006-2008,2006,2008,Sin Información,725.71,362.86,579,xlsx:columna_area,True,columna_validada_ok
5,León,2008-2010,2008,2010,Bosque Estable,62065.66,31032.83,3486,shp:geometria,True,geometria_metrica
5,León,2008-2010,2008,2010,Deforestación,789.08,394.54,663,shp:geometria,True,geometria_metrica
5,León,2008-2010,2008,2010,No Bosque Estable,152758.38,76379.19,2926,shp:geometria,True,geometria_metrica
5,León,2008-2010,2008,2010,Sin Información,1110.06,555.03,730,shp:geometria,True,geometria_metrica
5,León,2015-2016,2015,2016,Bosque Estable,58997.23,58997.23,1895,shp:geometria,True,geometria_metrica
5,León,2015-2016,2015,2016,Deforestación,1676.65,1676.65,540,shp:geometria,True,geometria_metrica
5,León,2015-2016,2015,2016,No Bosque Estable,153519.56,153519.56,1483,shp:geometria,True,geometria_metrica
