idcu,cuenca,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,n_poligonos,fuente,area_confiable,flag_calidad
2,Sucio Alto,2015-2016,2015,2016,No Bosque Estable,125726.9,125726.9,2128,shp:geometria,True,geometria_metrica
2,Sucio Alto,2015-2016,2015,2016,Sin Información,269.34,269.34,53,shp:geometria,True,geometria_metrica
2,Sucio Alto,2016-2017,2016,2017,Bosque Estable,89310.9,89310.9,3225,shp:geometria,True,geometria_metrica
2,Sucio Alto,2016-2017,2016,2017,Deforestación,356.81,356.81,502,shp:geometria,True,geometria_metrica
2,Sucio Alto,2016-2017,2016,2017,No Bosque Estable,127327.6,127327.6,1915,shp:geometria,True,geometria_metrica
2,Sucio Alto,2016-2017,2016,2017,Sin Información,273.65,273.65,52,shp:geometria,True,geometria_metrica
2,Sucio Alto,2017-2018,2017,2018,Bosque Estable,89310.9,89310.9,3225,shp:geometria,True,geometria_metrica
2,Sucio Alto,2017-2018,2017,2018,Deforestación,356.81,356.81,502,shp:geometria,True,geometria_metrica
2,Sucio Alto,2017-2018,2017,2018,No Bosque Estable,127327.6,127327.6,1915,shp:geometria,True,geometria_metrica
2,Sucio Alto,2017-2018,2017,2018,Sin Información,273.65,273.65,52,shp:geometria,True,geometria_metrica
2,Sucio Alto,2019-2020,2019,2020,Bosque Estable,88902.2,88902.2,3153,shp:geometria,True,geometria_metrica
2,Sucio Alto,2019-2020,2019,2020,Deforestación,252.46,252.46,146,shp:geometria,True,geometria_metrica
2,Sucio Alto,2019-2020,2019,2020,No Bosque Estable,128114.39,128114.39,1886,shp:geometria,True,geometria_metrica
2,Sucio Alto,2020-2021,2020,2021,Bosque Estable,88788.72,88788.72,3156,shp:geometria,True,geometria_metrica
2,Sucio Alto,2020-2021,2020,2021,Deforestación,105.53,105.53,56,shp:geometria,True,geometria_metrica
2,Sucio Alto,2020-2021,2020,2021,Regeneración,128374.8,128374.8,1886,shp:geometria,True,geometria_metrica
2,Sucio Alto,2021-2022,2021,2022,Bosque Estable,411233.08,411233.08,3164,xlsx:columna_area,False,columna_area_preclip_no_confiable
2,Sucio Alto,2021-2022,2021,2022,Deforestación,93.8,93.8,71,xlsx:columna_area,False,columna_area_preclip_no_confiable
2,Sucio Alto,2021-2022,2021,2022,No Bosque Estable,164137.44,164137.44,1839,xlsx:columna_area,False,columna_area_preclip_no_confiable
2,Sucio Alto,2021-2022,2021,2022,Sin Información,8.13,8.13,5,xlsx:columna_area,False,columna_area_preclip_no_confiable
2,Sucio Alto,2022-2023,2022,2023,Bosque Estable,87802.36,87802.36,3162,shp:geometria,True,geometria_metrica
2,Sucio Alto,2022-2023,2022,2023,Deforestación,95.68,95.68,72,shp:geometria,True,geometria_metrica
2,Sucio Alto,2022-2023,2022,2023,No Bosque Estable,129371.47,129371.47,1790,shp:geometria,True,geometria_metrica
2,Sucio Alto,2023-2024,2023,2024,Bosque Estable,,,3121,dbf:conteo,False,solo_conteo_sin_area
2,Sucio Alto,2023-2024,2023,2024,Deforestación,,,38,dbf:conteo,False,solo_conteo_sin_area
2,Sucio Alto,2023-2024,2023,2024,Regeneración,,,1801,dbf:conteo,False,solo_conteo_sin_area
1,Turbo Currulao,2000-2002,2000,2002,Bosque Estable,23357.27,11678.64,1985,xlsx:columna_area,True,columna_validada_ok
1,Turbo Currulao,2000-2002,2000,2002,Deforestación,128.22,64.11,129,xlsx:columna_area,True,columna_validada_ok
1,Turbo Currulao,2000-2002,2000,2002,No Bosque Estable,65515.31,32757.65,1456,xlsx:columna_area,True,columna_validada_ok
1,Turbo Currulao,2000-2002,2000,2002,Sin Información,112.64,56.32,61,xlsx:columna_area,True,columna_validada_ok
1,Turbo Currulao,2002-2004,2002,2004,Bosque Estable,22196.3,11098.15,2232,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2002-2004,2002,2004,Deforestación,578.24,289.12,439,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2002-2004,2002,2004,No Bosque Estable,65885.2,32942.6,1427,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2002-2004,2002,2004,Sin Información,459.12,229.56,254,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2004-2006,2004,2006,Bosque Estable,21595.62,10797.81,2265,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2004-2006,2004,2006,Deforestación,473.66,236.83,356,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2004-2006,2004,2006,No Bosque Estable,66875.04,33437.52,1356,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2004-2006,2004,2006,Sin Información,174.26,87.13,86,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2006-2008,2006,2008,Bosque Estable,20940.34,10470.17,3085,xlsx:columna_area,True,columna_validada_ok
1,Turbo Currulao,2006-2008,2006,2008,Deforestación,381.79,190.9,380,xlsx:columna_area,True,columna_validada_ok
1,Turbo Currulao,2006-2008,2006,2008,No Bosque Estable,67658.47,33829.24,1568,xlsx:columna_area,True,columna_validada_ok
1,Turbo Currulao,2006-2008,2006,2008,Sin Información,132.67,66.33,95,xlsx:columna_area,True,columna_validada_ok
1,Turbo Currulao,2008-2010,2008,2010,Bosque Estable,20539.66,10269.83,2322,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2008-2010,2008,2010,Deforestación,186.66,93.33,167,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2008-2010,2008,2010,No Bosque Estable,67743.67,33871.83,1358,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2008-2010,2008,2010,Sin Información,649.22,324.61,438,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2015-2016,2015,2016,Bosque Estable,17916.82,17916.82,1660,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2015-2016,2015,2016,Deforestación,416.33,416.33,159,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2015-2016,2015,2016,No Bosque Estable,70483.71,70483.71,1046,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2015-2016,2015,2016,Sin Información,301.86,301.86,82,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2016-2017,2016,2017,Bosque Estable,17946.2,17946.2,1582,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2016-2017,2016,2017,Deforestación,106.29,106.29,59,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2016-2017,2016,2017,No Bosque Estable,70502.92,70502.92,954,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2016-2017,2016,2017,Regeneración,30.62,30.62,10,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2016-2017,2016,2017,Sin Información,532.76,532.76,115,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2017-2018,2017,2018,Bosque Estable,17946.2,17946.2,1582,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2017-2018,2017,2018,Deforestación,106.29,106.29,59,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2017-2018,2017,2018,No Bosque Estable,70502.92,70502.92,954,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2017-2018,2017,2018,Regeneración,30.62,30.62,10,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2017-2018,2017,2018,Sin Información,532.76,532.76,115,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2019-2020,2019,2020,Bosque Estable,17118.48,17118.48,1336,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2019-2020,2019,2020,Deforestación,72.52,72.52,52,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2019-2020,2019,2020,No Bosque Estable,71926.07,71926.07,490,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2019-2020,2019,2020,Sin Información,2.31,2.31,3,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2020-2021,2020,2021,Bosque Estable,17044.65,17044.65,1338,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2020-2021,2020,2021,Deforestación,74.18,74.18,37,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2020-2021,2020,2021,Regeneración,72000.49,72000.49,494,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2020-2021,2020,2021,Sin Información,0.06,0.06,1,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2021-2022,2021,2022,Bosque Estable,26513.07,26513.07,1390,xlsx:columna_area,False,columna_area_preclip_no_confiable
1,Turbo Currulao,2021-2022,2021,2022,Deforestación,101.94,101.94,64,xlsx:columna_area,False,columna_area_preclip_no_confiable
1,Turbo Currulao,2021-2022,2021,2022,No Bosque Estable,370274.19,370274.19,499,xlsx:columna_area,False,columna_area_preclip_no_confiable
1,Turbo Currulao,2021-2022,2021,2022,Sin Información,4.21,4.21,16,xlsx:columna_area,False,columna_area_preclip_no_confiable
1,Turbo Currulao,2022-2023,2022,2023,Bosque Estable,16004.38,16004.38,1647,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2022-2023,2022,2023,Deforestación,80.46,80.46,67,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2022-2023,2022,2023,No Bosque Estable,73034.83,73034.83,651,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2022-2023,2022,2023,Sin Información,0.23,0.23,3,shp:geometria,True,geometria_metrica
1,Turbo Currulao,2023-2024,2023,2024,Bosque Estable,,,1644,dbf:conteo,False,solo_conteo_sin_area
1,Turbo Currulao,2023-2024,2023,2024,Deforestación,,,30,dbf:conteo,False,solo_conteo_sin_area
1,Turbo Currulao,2023-2024,2023,2024,Regeneración,,,663,dbf:conteo,False,solo_conteo_sin_area
