periodo,ano_inicio,ano_fin,consejo,clase,hectareas,hectareas_anuales,poligonos,fuente,calidad_fuente
2020-2021,2020,2021,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,24493.27,24493.27,299,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario de Bocas De Atrato y Leoncito,Sin Información,0.37,0.37,4,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario de Los Mangos,Bosque Estable,3.89,3.89,1,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario de Los Mangos,No Bosque Estable,360.75,360.75,1,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,50.44,50.44,1,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Manatíes,Bosque Estable,3435.76,3435.76,16,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Manatíes,Deforestación,3.88,3.88,7,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Manatíes,No Bosque Estable,957.63,957.63,35,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,135128.08,135128.08,447,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,152.15,152.15,105,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,38315.98,38315.98,1093,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,1181.9,1181.9,230,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,6132.37,6132.37,72,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Por El Desarrollo Integral,Deforestación,31.13,31.13,29,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,3851.96,3851.96,112,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10688.09,10688.09,27,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Por La Identidad Cultural,Deforestación,75.59,75.59,37,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1741.26,1741.26,104,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,9311.81,9311.81,124,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,24498.75,24498.75,297,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario de Bocas De Atrato y Leoncito,Sin Información,1.59,1.59,17,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario de Los Mangos,Bosque Estable,3.89,3.89,1,shapefile,geometria
2021-2022,2021,2022,Consejo Comunitario de Los Mangos,No Bosque Estable,360.76,360.76,1,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,50.44,50.44,1,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Manatíes,Bosque Estable,3437.44,3437.44,17,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Manatíes,No Bosque Estable,959.83,959.83,36,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,136139.34,136139.34,298,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,112.98,112.98,88,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,38526.0,38526.0,1122,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,6112.46,6112.46,71,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Por El Desarrollo Integral,Deforestación,7.14,7.14,12,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,3895.85,3895.85,117,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10664.85,10664.85,26,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Por La Identidad Cultural,Deforestación,20.26,20.26,15,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1819.84,1819.84,115,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,9310.8,9310.8,119,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,24500.55,24500.55,297,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario de Bocas De Atrato y Leoncito,Sin Información,0.78,0.78,6,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario de Los Mangos,Bosque Estable,3.89,3.89,1,shapefile,geometria
2022-2023,2022,2023,Consejo Comunitario de Los Mangos,No Bosque Estable,360.76,360.76,1,shapefile,geometria
2023-2024,2023,2024,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,50.44,50.44,1,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Manatíes,Bosque Estable,3436.51,3436.51,17,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Manatíes,No Bosque Estable,960.69,960.69,39,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,135957.91,135957.91,301,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,77.99,77.99,53,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,38728.78,38728.78,1179,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,6106.62,6106.62,71,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Por El Desarrollo Integral,Deforestación,8.59,8.59,4,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,3898.61,3898.61,127,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10637.82,10637.82,25,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Por La Identidad Cultural,Deforestación,25.12,25.12,24,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1840.65,1840.65,121,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,9302.44,9302.44,120,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,24511.54,24511.54,302,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario de Los Mangos,Bosque Estable,3.95,3.95,1,excel,tabla_area
2023-2024,2023,2024,Consejo Comunitario de Los Mangos,No Bosque Estable,360.68,360.68,1,excel,tabla_area
