periodo,ano_inicio,ano_fin,municipio,codigo_dane,subregion,n_parches,ha_total,tamano_medio_ha,tamano_mediano_ha,tamano_max_ha,pct_parches_grandes,fuente_calidad
2008-2010,2008,2010,Mutatá,05480,Centro,127,473.18,3.726,2.0,46.66,7.87,shapefile_ok
2008-2010,2008,2010,Carepa,05147,Centro,93,314.01,3.376,2.07,35.09,4.3,shapefile_ok
2008-2010,2008,2010,Urrao,05847,Urrao,86,191.3,2.224,1.56,17.91,2.33,shapefile_ok
2008-2010,2008,2010,Necoclí,05490,Caribe,74,187.56,2.535,1.705,22.38,1.35,shapefile_ok
2008-2010,2008,2010,Murindó,05475,Atrato,65,154.55,2.378,1.78,15.41,3.08,shapefile_ok
2008-2010,2008,2010,Chigorodó,05172,Centro,48,111.98,2.333,1.66,8.35,0.0,shapefile_ok
2008-2010,2008,2010,Dabeiba,05234,Nutibara,51,109.79,2.153,1.79,7.71,0.0,shapefile_ok
2008-2010,2008,2010,Apartadó,05045,Centro,31,79.98,2.58,1.99,6.66,0.0,shapefile_ok
2008-2010,2008,2010,Vigía del Fuerte,05873,Atrato,25,59.78,2.391,1.44,16.98,4.0,shapefile_ok
2008-2010,2008,2010,Frontino,05284,Nutibara,28,48.08,1.717,1.49,4.1,0.0,shapefile_ok
2008-2010,2008,2010,San Pedro de Urabá,05665,Caribe,4,23.89,5.973,4.845,12.99,25.0,shapefile_ok
2008-2010,2008,2010,Arboletes,05051,Caribe,6,23.54,3.923,2.2,12.63,16.67,shapefile_ok
2008-2010,2008,2010,Cañasgordas,05138,Nutibara,5,7.91,1.582,1.5,2.31,0.0,shapefile_ok
2008-2010,2008,2010,Peque,05543,Nutibara,5,7.67,1.534,1.76,1.84,0.0,shapefile_ok
2008-2010,2008,2010,Abriaquí,05004,Nutibara,1,2.95,2.95,2.95,2.95,0.0,shapefile_ok
2008-2010,2008,2010,Uramita,05842,Nutibara,1,1.81,1.81,1.81,1.81,0.0,shapefile_ok
2012-2013,2012,2013,Turbo,05837,Centro,131,499.7,3.815,1.86,71.58,4.58,raster_depto_recortado
2012-2013,2012,2013,Dabeiba,05234,Nutibara,111,252.58,2.275,1.39,35.79,1.8,raster_depto_recortado
2012-2013,2012,2013,Frontino,05284,Nutibara,126,232.57,1.846,1.39,8.37,0.0,raster_depto_recortado
2012-2013,2012,2013,Cañasgordas,05138,Nutibara,100,164.26,1.643,1.39,4.55,0.0,raster_depto_recortado
2012-2013,2012,2013,Urrao,05847,Urrao,73,151.57,2.076,1.58,8.55,0.0,raster_depto_recortado
2012-2013,2012,2013,Chigorodó,05172,Centro,19,98.9,5.205,1.3,51.5,10.53,raster_depto_recortado
2012-2013,2012,2013,Uramita,05842,Nutibara,52,83.6,1.608,1.39,3.53,0.0,raster_depto_recortado
2012-2013,2012,2013,Necoclí,05490,Caribe,25,57.37,2.295,1.67,6.69,0.0,raster_depto_recortado
2012-2013,2012,2013,Abriaquí,05004,Nutibara,28,56.69,2.025,1.58,6.69,0.0,raster_depto_recortado
2012-2013,2012,2013,Apartadó,05045,Centro,14,41.1,2.936,1.63,11.43,7.14,raster_depto_recortado
2012-2013,2012,2013,Peque,05543,Nutibara,21,37.93,1.806,1.58,4.28,0.0,raster_depto_recortado
2012-2013,2012,2013,Mutatá,05480,Centro,17,35.61,2.095,1.3,6.23,0.0,raster_depto_recortado
2012-2013,2012,2013,Arboletes,05051,Caribe,6,24.54,4.09,3.67,8.27,0.0,raster_depto_recortado
2012-2013,2012,2013,Vigía del Fuerte,05873,Atrato,14,22.22,1.587,1.535,2.51,0.0,raster_depto_recortado
2012-2013,2012,2013,Carepa,05147,Centro,4,11.52,2.88,1.905,6.69,0.0,raster_depto_recortado
2012-2013,2012,2013,Giraldo,05306,Nutibara,7,11.52,1.646,1.58,2.23,0.0,raster_depto_recortado
2012-2013,2012,2013,Murindó,05475,Atrato,4,10.14,2.535,1.77,5.58,0.0,raster_depto_recortado
2012-2013,2012,2013,San Pedro de Urabá,05665,Caribe,2,5.02,2.51,2.51,3.81,0.0,raster_depto_recortado
2013-2014,2013,2014,Turbo,05837,Centro,108,1115.68,10.33,1.9,738.46,5.56,shapefile_ok
2013-2014,2013,2014,Urrao,05847,Urrao,254,624.24,2.458,1.575,33.12,1.97,shapefile_ok
2013-2014,2013,2014,Dabeiba,05234,Nutibara,72,361.81,5.025,1.655,112.14,5.56,shapefile_ok
2013-2014,2013,2014,Apartadó,05045,Centro,95,359.38,3.783,2.07,23.81,9.47,shapefile_ok
2013-2014,2013,2014,Frontino,05284,Nutibara,73,190.51,2.61,2.09,10.04,1.37,shapefile_ok
2013-2014,2013,2014,Necoclí,05490,Caribe,15,114.44,7.629,1.58,62.58,13.33,shapefile_ok
2013-2014,2013,2014,Mutatá,05480,Centro,32,98.53,3.079,2.16,10.31,3.12,shapefile_ok
2013-2014,2013,2014,Murindó,05475,Atrato,38,94.73,2.493,2.055,6.31,0.0,shapefile_ok
2013-2014,2013,2014,Chigorodó,05172,Centro,29,66.11,2.28,1.84,5.53,0.0,shapefile_ok
2013-2014,2013,2014,Vigía del Fuerte,05873,Atrato,31,56.67,1.828,1.53,7.59,0.0,shapefile_ok
2013-2014,2013,2014,Uramita,05842,Nutibara,14,53.69,3.835,1.865,23.47,7.14,shapefile_ok
2013-2014,2013,2014,Peque,05543,Nutibara,8,14.22,1.777,1.755,2.99,0.0,shapefile_ok
2013-2014,2013,2014,Carepa,05147,Centro,8,13.92,1.74,1.535,2.81,0.0,shapefile_ok
2013-2014,2013,2014,Abriaquí,05004,Nutibara,8,13.35,1.669,1.395,3.5,0.0,shapefile_ok
2013-2014,2013,2014,Cañasgordas,05138,Nutibara,4,8.92,2.23,1.23,5.31,0.0,shapefile_ok
2013-2014,2013,2014,San Pedro de Urabá,05665,Caribe,3,6.85,2.283,1.85,3.95,0.0,shapefile_ok
2013-2014,2013,2014,Arboletes,05051,Caribe,1,1.53,1.53,1.53,1.53,0.0,shapefile_ok
2013-2014,2013,2014,Giraldo,05306,Nutibara,1,1.24,1.24,1.24,1.24,0.0,shapefile_ok
2016-2017,2016,2017,Turbo,05837,Centro,154,659.83,4.285,2.13,53.99,8.44,shapefile_ok
2016-2017,2016,2017,Urrao,05847,Urrao,251,540.5,2.153,1.68,11.08,0.8,shapefile_ok
2016-2017,2016,2017,Mutatá,05480,Centro,130,429.59,3.305,2.025,28.34,6.92,shapefile_ok
2016-2017,2016,2017,Frontino,05284,Nutibara,159,332.28,2.09,1.65,7.54,0.0,shapefile_ok
2016-2017,2016,2017,Dabeiba,05234,Nutibara,145,274.56,1.894,1.49,9.69,0.0,shapefile_ok
2016-2017,2016,2017,Chigorodó,05172,Centro,101,214.16,2.12,1.49,11.01,0.99,shapefile_ok
2016-2017,2016,2017,Apartadó,05045,Centro,78,213.3,2.735,2.0,10.34,1.28,shapefile_ok
2016-2017,2016,2017,Murindó,05475,Atrato,96,205.48,2.14,1.61,8.63,0.0,shapefile_ok
2016-2017,2016,2017,Vigía del Fuerte,05873,Atrato,42,89.0,2.119,1.675,8.72,0.0,shapefile_ok
2016-2017,2016,2017,Carepa,05147,Centro,23,47.69,2.073,1.73,5.01,0.0,shapefile_ok
2016-2017,2016,2017,Cañasgordas,05138,Nutibara,21,33.5,1.595,1.48,3.27,0.0,shapefile_ok
2016-2017,2016,2017,Uramita,05842,Nutibara,17,31.83,1.872,1.62,4.63,0.0,shapefile_ok
2016-2017,2016,2017,Necoclí,05490,Caribe,7,30.04,4.291,2.14,13.68,14.29,shapefile_ok
2016-2017,2016,2017,Abriaquí,05004,Nutibara,12,24.54,2.045,1.53,3.87,0.0,shapefile_ok
2016-2017,2016,2017,Peque,05543,Nutibara,10,22.94,2.294,1.93,5.82,0.0,shapefile_ok
2016-2017,2016,2017,Arboletes,05051,Caribe,2,16.03,8.015,8.015,15.01,50.0,shapefile_ok
2016-2017,2016,2017,Giraldo,05306,Nutibara,3,6.53,2.177,1.35,3.88,0.0,shapefile_ok
2016-2017,2016,2017,San Pedro de Urabá,05665,Caribe,1,2.24,2.24,2.24,2.24,0.0,shapefile_ok
2017-2018,2017,2018,Turbo,05837,Centro,43,301.9,7.021,2.92,61.94,13.95,shapefile_ok
2017-2018,2017,2018,Carepa,05147,Centro,13,278.81,21.447,2.57,204.42,23.08,shapefile_ok
2017-2018,2017,2018,Urrao,05847,Urrao,106,203.69,1.922,1.555,5.95,0.0,shapefile_ok
2017-2018,2017,2018,Murindó,05475,Atrato,56,172.31,3.077,1.75,28.99,3.57,shapefile_ok
2017-2018,2017,2018,Apartadó,05045,Centro,40,150.68,3.767,2.505,11.31,5.0,shapefile_ok
2017-2018,2017,2018,Dabeiba,05234,Nutibara,63,140.05,2.223,1.81,7.57,0.0,shapefile_ok
2017-2018,2017,2018,Mutatá,05480,Centro,37,124.98,3.378,2.23,12.79,2.7,shapefile_ok
2017-2018,2017,2018,Frontino,05284,Nutibara,48,105.19,2.191,1.64,8.53,0.0,shapefile_ok
2017-2018,2017,2018,Vigía del Fuerte,05873,Atrato,27,60.31,2.234,2.05,7.14,0.0,shapefile_ok
2017-2018,2017,2018,Chigorodó,05172,Centro,13,28.74,2.211,1.75,5.32,0.0,shapefile_ok
2017-2018,2017,2018,Peque,05543,Nutibara,4,14.79,3.697,2.01,9.64,0.0,shapefile_ok
2017-2018,2017,2018,Uramita,05842,Nutibara,1,8.92,8.92,8.92,8.92,0.0,shapefile_ok
2017-2018,2017,2018,San Pedro de Urabá,05665,Caribe,2,5.47,2.735,2.735,3.0,0.0,shapefile_ok
2017-2018,2017,2018,Necoclí,05490,Caribe,2,4.32,2.16,2.16,2.46,0.0,shapefile_ok
2017-2018,2017,2018,Abriaquí,05004,Nutibara,1,4.22,4.22,4.22,4.22,0.0,shapefile_ok
2017-2018,2017,2018,San Juan de Urabá,05659,Caribe,1,2.67,2.67,2.67,2.67,0.0,shapefile_ok
2019-2020,2019,2020,Dabeiba,05234,Nutibara,161,390.75,2.427,1.7,15.06,1.24,shapefile_ok
2019-2020,2019,2020,Urrao,05847,Urrao,99,229.7,2.32,1.59,15.17,2.02,shapefile_ok
2019-2020,2019,2020,Turbo,05837,Centro,54,219.7,4.069,2.085,32.97,7.41,shapefile_ok
2019-2020,2019,2020,Mutatá,05480,Centro,61,198.94,3.261,1.72,49.8,4.92,shapefile_ok
2019-2020,2019,2020,Frontino,05284,Nutibara,43,82.31,1.914,1.57,5.74,0.0,shapefile_ok
2019-2020,2019,2020,Murindó,05475,Atrato,38,82.08,2.16,1.795,7.11,0.0,shapefile_ok
2019-2020,2019,2020,Vigía del Fuerte,05873,Atrato,29,79.88,2.754,1.82,20.13,3.45,shapefile_ok
2019-2020,2019,2020,Carepa,05147,Centro,8,47.11,5.889,2.705,26.96,12.5,shapefile_ok
2019-2020,2019,2020,Cañasgordas,05138,Nutibara,15,38.05,2.537,2.33,6.09,0.0,shapefile_ok
2019-2020,2019,2020,Peque,05543,Nutibara,10,36.81,3.681,3.13,8.0,0.0,shapefile_ok
2019-2020,2019,2020,Apartadó,05045,Centro,15,36.39,2.426,2.13,3.97,0.0,shapefile_ok
2019-2020,2019,2020,Chigorodó,05172,Centro,18,30.11,1.673,1.405,3.12,0.0,shapefile_ok
2019-2020,2019,2020,Necoclí,05490,Caribe,7,27.46,3.923,2.88,8.97,0.0,shapefile_ok
2019-2020,2019,2020,San Pedro de Urabá,05665,Caribe,4,18.71,4.678,3.12,11.44,25.0,shapefile_ok
2019-2020,2019,2020,Uramita,05842,Nutibara,3,10.86,3.62,3.51,5.11,0.0,shapefile_ok
2019-2020,2019,2020,Arboletes,05051,Caribe,1,4.92,4.92,4.92,4.92,0.0,shapefile_ok
2019-2020,2019,2020,San Juan de Urabá,05659,Caribe,2,4.71,2.355,2.355,2.92,0.0,shapefile_ok
2019-2020,2019,2020,Abriaquí,05004,Nutibara,1,1.12,1.12,1.12,1.12,0.0,shapefile_ok
2020-2021,2020,2021,Dabeiba,05234,Nutibara,94,192.44,2.047,1.745,6.16,0.0,shapefile_ok
2020-2021,2020,2021,Urrao,05847,Urrao,87,190.89,2.194,1.82,7.67,0.0,shapefile_ok
2020-2021,2020,2021,Mutatá,05480,Centro,37,110.61,2.989,1.75,17.07,5.41,shapefile_ok
2020-2021,2020,2021,Murindó,05475,Atrato,44,96.75,2.199,1.45,11.85,2.27,shapefile_ok
2020-2021,2020,2021,Vigía del Fuerte,05873,Atrato,40,86.85,2.171,1.615,8.72,0.0,shapefile_ok
2020-2021,2020,2021,Frontino,05284,Nutibara,30,71.53,2.384,1.835,7.1,0.0,shapefile_ok
2020-2021,2020,2021,Turbo,05837,Centro,34,68.51,2.015,1.6,5.7,0.0,shapefile_ok
2020-2021,2020,2021,Arboletes,05051,Caribe,10,39.28,3.928,2.73,11.3,10.0,shapefile_ok
2020-2021,2020,2021,Apartadó,05045,Centro,11,31.09,2.826,2.02,10.31,9.09,shapefile_ok
2020-2021,2020,2021,Necoclí,05490,Caribe,11,23.24,2.113,2.03,4.08,0.0,shapefile_ok
2020-2021,2020,2021,Cañasgordas,05138,Nutibara,5,18.64,3.728,2.36,7.82,0.0,shapefile_ok
2020-2021,2020,2021,Carepa,05147,Centro,3,17.09,5.697,5.7,7.34,0.0,shapefile_ok
